CustomerID,FirstName,LastName,DateOfBirth,Gender,Email,PhoneNumber,AddressLine1,City,State,PostalCode,Country,KYCStatus,RegistrationDate
CUST00031,Arrfsl,Gqxmxebb,1995-11-27,Male,user31@example.com,555-2324-593,99 Fhlab St,New York,PAR,125470,France,Verified,2023-11-05
CUST00032,Gqxalp,Ebrdufma,1981-02-08,Male,user32@example.com,555-6282-705,931 vBPjT St,London,LON,631875,France,Verified,2021-06-17
CUST00033,Zvfway,Jdernwkr,1983-05-12,Male,user33@example.com,555-2576-447,323 JuWgz St,Berlin,NY,197805,Japan,Verified,2024-10-25
CUST00034,Sbadth,Rietjfis,1999-02-15,Male,user34@example.com,555-2712-417,814 CLszp St,Tokyo,BER,586656,UK,Rejected,2021-04-12
CUST00035,Icixuo,Yqpyjqvz,1972-12-12,Male,user35@example.com,555-6430-599,909 auRCP St,London,NY,175740,Japan,Rejected,2022-04-25
CUST00036,Jkomjr,Snxmumtm,1976-05-26,Female,user36@example.com,555-8936-807,673 heaBV St,Tokyo,PAR,664946,France,Pending,2021-02-14
CUST00037,Jwpnrv,Exrgappx,2000-01-25,Female,user37@example.com,555-5780-851,14 GSYgm St,Tokyo,BER,364003,France,Verified,2021-03-14
CUST00038,Czmlsj,Zcwwlmfv,1982-07-26,Male,user38@example.com,555-7920-039,22 kOOjA St,Tokyo,TOK,028028,UK,Verified,2022-08-11
CUST00039,Oprmcc,Lwwvhtra,1989-07-22,Male,user39@example.com,555-3455-640,715 GkJXr St,New York,LON,210583,Japan,Verified,2023-06-16
CUST00040,Bpqykx,Sblxzfvi,1976-07-27,Female,user40@example.com,555-7261-996,945 Qwomi St,Berlin,LON,904013,USA,Verified,2021-01-08
