fd_id,customer_id,account_id,branch_id,fd_number,fd_type,principal_inr,interest_rate_pct,tenure_days,maturity_amount_inr,interest_earned_inr,payout_frequency,auto_renewal,tds_applicable,fd_status,opened_at,maturity_date,renewed_at,prematurely_closed_at,created_at,updated_at
FD000011,CUST00011,ACC000011,BR0011,FD99218703185,Regular FD,3015970.94,7.78,1095,3719898.56,703927.62,Monthly,No,No,Matured,2025-08-16 13:00:36,2028-08-15,,,2025-08-16 13:00:36,2026-12-17 13:00:36
FD000012,CUST00012,ACC000012,BR0012,FD95841501075,Tax Saver FD,3774684.67,7.78,365,4068355.14,293670.47,Quarterly,No,No,Auto-Renewed,2022-03-25 13:00:36,2023-03-25,2025-11-16 13:00:36,,2022-03-25 13:00:36,2023-02-14 13:00:36
FD000013,CUST00013,ACC000013,BR0013,FD57485897677,Senior Citizen FD,763277.43,5.7,365,806784.24,43506.81,Half-Yearly,Yes,No,Pre-Closed,2022-07-04 13:00:36,2023-07-04,,2026-01-25 13:00:36,2022-07-04 13:00:36,2023-05-03 13:00:36
FD000014,CUST00014,ACC000014,BR0014,FD22263391655,NRE FD,2314095.01,5.61,270,2410126.78,96031.77,Annually,No,No,Pre-Closed,2021-05-20 13:00:36,2022-02-14,,2026-02-07 13:00:36,2021-05-20 13:00:36,2022-04-16 13:00:36
FD000015,CUST00015,ACC000015,BR0015,FD53758155315,NRO FD,2905843.74,8.36,1095,3634629.35,728785.61,On Maturity,No,Yes,Renewed,2025-10-25 13:00:36,2028-10-24,2025-11-25 13:00:36,,2025-10-25 13:00:36,2026-09-24 13:00:36
FD000016,CUST00016,ACC000016,BR0016,FD98066367387,Flexi FD,4789034.57,6.85,1825,6429278.91,1640244.34,Monthly,Yes,Yes,Pre-Closed,2021-05-09 13:00:36,2026-05-08,,2025-12-28 13:00:36,2021-05-09 13:00:36,2021-06-22 13:00:36
FD000017,CUST00017,ACC000017,BR0017,FD58807570084,Recurring Deposit,1246241.18,6.81,365,1331110.2,84869.02,Quarterly,No,No,Auto-Renewed,2023-02-09 13:00:36,2024-02-09,2025-11-20 13:00:36,,2023-02-09 13:00:36,2023-05-02 13:00:36
FD000018,CUST00018,ACC000018,BR0018,FD83420343971,Corporate FD,2049759.29,6.52,730,2317047.9,267288.61,Half-Yearly,No,No,Pre-Closed,2025-10-02 13:00:36,2027-10-02,,2026-02-07 13:00:36,2025-10-02 13:00:36,2026-03-20 13:00:36
FD000019,CUST00019,ACC000019,BR0019,FD87659459681,Auto Sweep,1267458.97,8.05,730,1471519.86,204060.89,Annually,Yes,No,Matured,2021-02-24 13:00:36,2023-02-24,,,2021-02-24 13:00:36,2021-08-14 13:00:36
FD000020,CUST00020,ACC000020,BR0020,FD49018571056,Cumulative FD,1558056.37,7.47,1095,1907216.8,349160.43,On Maturity,No,No,Matured,2023-11-07 13:00:36,2026-11-06,,,2023-11-07 13:00:36,2024-09-07 13:00:36
